coefficient	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
genotype	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	23	0.7815747467340772	1.4410193160593454	0.04740875470393584	0.8149405772495756	0.8101748428796951	212	tags=26%, list=1%, signal=26%	Cxcl11/Klrk1/Selp/Il2rb/Serping1/Sectm1a
genotype	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	68	-0.5939842051543038	-1.347505166681231	0.04877098557042158	0.8149405772495756	0.8101748428796951	1094	tags=25%, list=6%, signal=24%	Cda/Cyp4f15/F11/Fbp1/Upp1/Il1r1/Pycr1/Akr1c18/Leap2/Cyp2j9/Hsd11b1/Arg1/Cyp2s1/Adh7/Rbp4/Aldh3a1/Cdo1
genotype	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	50	0.6290620019075431	1.3153099782025486	0.06791171477079797	0.8149405772495756	0.8101748428796951	1771	tags=36%, list=10%, signal=32%	Il2rb/Klrd1/Cd7/Tgfb2/Cd8b1/Gzmb/Ccl22/Ncr1/Thy1/Crtam/Zap70/F2r/Cd3g/Itk/Ache/Cd96/Cd79a/Ltb
genotype	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	52	0.5740708759413307	1.208487659819158	0.16891891891891891	0.8734770384254921	0.8683689855692027	1368	tags=35%, list=8%, signal=32%	Cxcl11/Il2rb/Chst2/Edn1/Slc28a2b/Tpbg/Sell/Bdkrb1/Il18r1/Has2/Icam4/Ccl22/Ffar2/Slc1a2/Cd70/Aplnr/Gabbr1/Cxcr6
genotype	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	69	0.5455034335499522	1.1960416311975202	0.13945578231292516	0.8734770384254921	0.8683689855692027	2229	tags=33%, list=13%, signal=29%	Fhl2/Ablim1/Tpbg/Aqp3/Nbl1/Cldn7/Clic3/Krt19/Muc1/Prss23/Kcnk5/Esrp2/Ret/Thsd4/Ovol2/Slc1a1/Ar/Elovl2/Hes1/Npy1r/Podxl/Kazn/Hspb8
genotype	HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	54	0.559299915151266	1.1836547964976531	0.17857142857142858	0.8734770384254921	0.8683689855692027	1666	tags=28%, list=10%, signal=25%	F5/Cd59b/Serping1/Cdh13/Zfpm2/Dpp4/Gzmb/Pclo/S100a9/Apoc1/Pcsk9/Gata3/Kcnip2/Mmp15/Plg
genotype	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	80	-0.49284560636253094	-1.1563793703899936	0.18137254901960784	0.8734770384254921	0.8683689855692027	1901	tags=38%, list=11%, signal=34%	Igf2/Fgf9/Ephb2/Mpzl2/Sema3b/Aldh1a3/Mmp10/Spon1/Pigr/Trib2/Ush1c/Lif/F2rl1/Sox9/Btc/Ngf/H2bc3/Etv4/Gfpt2/Reln/Hsd11b1/Epb41l3/Plat/Itga2/Pdcd1lg2/Arg1/Ppbp/Cbl/Rbp4/Retn
genotype	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	39	0.5704535003193811	1.1521957066416997	0.2504317789291883	0.8734770384254921	0.8683689855692027	2069	tags=49%, list=12%, signal=43%	Selp/Il2rb/Irf6/Ikzf4/Sell/Ager/Il1r2/Tnfrsf18/Il18r1/Plagl1/Itih5/Muc1/Spry4/Itgae/Ltb/Tnfsf11/Gata1/Gpr83/She
genotype	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	14	0.683334105357463	1.150677637082574	0.30241187384044527	0.8734770384254921	0.8683689855692027	2078	tags=50%, list=12%, signal=44%	Dll1/Lef1/Fzd8/Tcf7/Gnai1/Dkk4/Peg12
genotype	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	13	0.686665368529616	1.1503169193106677	0.30566037735849055	0.8734770384254921	0.8683689855692027	2119	tags=46%, list=12%, signal=41%	Thy1/Adgrg1/Gli1/Ache/Plg/Unc5c
